1,"El pregonero.","Tipografía Venezuela","San Juan, Pto. Rico",1924
2,"Tiempos del mundo.","Tiempos, U.S.A. Corp","New York [N.Y.]",1996
3,"Tiempos del mundo.","Noticias Panamérica","Washington, DC",1990
